var_name,date,value
gdp,1947Q1,12.552
c,1947Q1,11.583
investment,1947Q1,8.319
fixed_i,1947Q1,8.923
nonresidential,1947Q1,6.065
structures,1947Q1,28.558
equipment,1947Q1,4.427
intellectual,1947Q1,1.374
residential,1947Q1,27.629
gdp,1947Q2,12.519
c,1947Q2,11.776
investment,1947Q2,7.681
fixed_i,1947Q2,8.692
nonresidential,1947Q2,5.971
structures,1947Q2,28.407
equipment,1947Q2,4.332
intellectual,1947Q2,1.357
residential,1947Q2,26.248
gdp,1947Q3,12.493
c,1947Q3,11.814
investment,1947Q3,7.455
fixed_i,1947Q3,8.973
nonresidential,1947Q3,5.861
structures,1947Q3,28.6
equipment,1947Q3,4.186
intellectual,1947Q3,1.356
residential,1947Q3,30.261
gdp,1947Q4,12.688
c,1947Q4,11.818
investment,1947Q4,8.898
fixed_i,1947Q4,9.711
nonresidential,1947Q4,6.024
structures,1947Q4,28.189
equipment,1947Q4,4.429
intellectual,1947Q4,1.328
residential,1947Q4,36.094
gdp,1948Q1,12.879
c,1948Q1,11.877
investment,1948Q1,9.811
fixed_i,1948Q1,10.022
nonresidential,1948Q1,6.374
structures,1948Q1,28.774
equipment,1948Q1,4.804
intellectual,1948Q1,1.34
residential,1948Q1,35.623
gdp,1948Q2,13.092
c,1948Q2,12.015
investment,1948Q2,10.418
fixed_i,1948Q2,10.007
nonresidential,1948Q2,6.161
structures,1948Q2,29.575
equipment,1948Q2,4.484
intellectual,1948Q2,1.319
residential,1948Q2,37.686
gdp,1948Q3,13.167
c,1948Q3,12.033
investment,1948Q3,10.525
fixed_i,1948Q3,9.905
nonresidential,1948Q3,6.176
structures,1948Q3,30.459
equipment,1948Q3,4.427
intellectual,1948Q3,1.32
residential,1948Q3,36.489
gdp,1948Q4,13.181
c,1948Q4,12.129
investment,1948Q4,10.022
fixed_i,1948Q4,9.792
nonresidential,1948Q4,6.32
structures,1948Q4,30.895
equipment,1948Q4,4.569
intellectual,1948Q4,1.31
residential,1948Q4,33.815
gdp,1949Q1,13
c,1949Q1,12.149
investment,1949Q1,8.525
fixed_i,1949Q1,9.25
nonresidential,1949Q1,6.03
structures,1949Q1,30.314
equipment,1949Q1,4.278
intellectual,1949Q1,1.281
residential,1949Q1,31.322
gdp,1949Q2,12.955
c,1949Q2,12.335
investment,1949Q2,7.392
fixed_i,1949Q2,8.97
nonresidential,1949Q2,5.806
structures,1949Q2,29.604
equipment,1949Q2,4.068
intellectual,1949Q2,1.277
residential,1949Q2,30.798
gdp,1949Q3,13.089
c,1949Q3,12.363
investment,1949Q3,8.005
fixed_i,1949Q3,8.954
nonresidential,1949Q3,5.54
structures,1949Q3,28.295
equipment,1949Q3,3.852
intellectual,1949Q3,1.287
residential,1949Q3,33.431
gdp,1949Q4,12.979
c,1949Q4,12.544
investment,1949Q4,7.611
fixed_i,1949Q4,9.279
nonresidential,1949Q4,5.472
structures,1949Q4,27.518
equipment,1949Q4,3.81
intellectual,1949Q4,1.343
residential,1949Q4,37.506
gdp,1950Q1,13.489
c,1950Q1,12.753
investment,1950Q1,9.418
fixed_i,1950Q1,9.85
nonresidential,1950Q1,5.63
structures,1950Q1,28.83
equipment,1950Q1,3.876
intellectual,1950Q1,1.389
residential,1950Q1,41.692
gdp,1950Q2,13.901
c,1950Q2,12.963
investment,1950Q2,10.426
fixed_i,1950Q2,10.722
nonresidential,1950Q2,6.1
structures,1950Q2,30.284
equipment,1950Q2,4.313
intellectual,1950Q2,1.411
residential,1950Q2,45.688
gdp,1950Q3,14.438
c,1950Q3,13.629
investment,1950Q3,11.322
fixed_i,1950Q3,11.485
nonresidential,1950Q3,6.605
structures,1950Q3,32.037
equipment,1950Q3,4.775
intellectual,1950Q3,1.417
residential,1950Q3,48.183
gdp,1950Q4,14.714
c,1950Q4,13.218
investment,1950Q4,12.76
fixed_i,1950Q4,11.255
nonresidential,1950Q4,6.595
structures,1950Q4,32.858
equipment,1950Q4,4.702
intellectual,1950Q4,1.403
residential,1950Q4,45.938
gdp,1951Q1,14.914
c,1951Q1,13.537
investment,1951Q1,11.457
fixed_i,1951Q1,10.847
nonresidential,1951Q1,6.423
structures,1951Q1,32.965
equipment,1951Q1,4.502
intellectual,1951Q1,1.364
residential,1951Q1,43.56
gdp,1951Q2,15.173
c,1951Q2,13.155
investment,1951Q2,11.722
fixed_i,1951Q2,10.364
nonresidential,1951Q2,6.5
structures,1951Q2,34.084
equipment,1951Q2,4.51
intellectual,1951Q2,1.351
residential,1951Q2,37.741
gdp,1951Q3,15.485
c,1951Q3,13.308
investment,1951Q3,10.859
fixed_i,1951Q3,10.212
nonresidential,1951Q3,6.576
structures,1951Q3,33.877
equipment,1951Q3,4.608
intellectual,1951Q3,1.376
residential,1951Q3,35.359
gdp,1951Q4,15.519
c,1951Q4,13.386
investment,1951Q4,9.994
fixed_i,1951Q4,10.133
nonresidential,1951Q4,6.468
structures,1951Q4,32.575
equipment,1951Q4,4.563
intellectual,1951Q4,1.433
residential,1951Q4,35.699
gdp,1952Q1,15.685
c,1952Q1,13.417
investment,1952Q1,10.255
fixed_i,1952Q1,10.289
nonresidential,1952Q1,6.531
structures,1952Q1,32.614
equipment,1952Q1,4.588
intellectual,1952Q1,1.555
residential,1952Q1,36.634
gdp,1952Q2,15.719
c,1952Q2,13.679
investment,1952Q2,9.481
fixed_i,1952Q2,10.462
nonresidential,1952Q2,6.635
structures,1952Q2,32.849
equipment,1952Q2,4.651
intellectual,1952Q2,1.663
residential,1952Q2,37.314
gdp,1952Q3,15.833
c,1952Q3,13.745
investment,1952Q3,9.99
fixed_i,1952Q3,9.893
nonresidential,1952Q3,6.118
structures,1952Q3,33.123
equipment,1952Q3,3.962
intellectual,1952Q3,1.773
residential,1952Q3,36.952
gdp,1952Q4,16.353
c,1952Q4,14.23
investment,1952Q4,10.709
fixed_i,1952Q4,10.646
nonresidential,1952Q4,6.66
structures,1952Q4,34.392
equipment,1952Q4,4.46
intellectual,1952Q4,1.905
residential,1952Q4,38.948
gdp,1953Q1,16.657
c,1953Q1,14.397
investment,1953Q1,10.94
fixed_i,1953Q1,11.079
nonresidential,1953Q1,7.021
structures,1953Q1,35.427
equipment,1953Q1,4.777
intellectual,1953Q1,1.989
residential,1953Q1,39.576
gdp,1953Q2,16.785
c,1953Q2,14.484
investment,1953Q2,11.002
fixed_i,1953Q2,11.164
nonresidential,1953Q2,7.091
structures,1953Q2,36.107
equipment,1953Q2,4.77
intellectual,1953Q2,2.08
residential,1953Q2,39.707
gdp,1953Q3,16.691
c,1953Q3,14.449
investment,1953Q3,10.772
fixed_i,1953Q3,11.184
nonresidential,1953Q3,7.249
structures,1953Q3,36.308
equipment,1953Q3,4.93
intellectual,1953Q3,2.12
residential,1953Q3,38.221
gdp,1953Q4,16.438
c,1953Q4,14.352
investment,1953Q4,9.994
fixed_i,1953Q4,11.087
nonresidential,1953Q4,7.183
structures,1953Q4,36.949
equipment,1953Q4,4.788
intellectual,1953Q4,2.144
residential,1953Q4,37.91
gdp,1954Q1,16.36
c,1954Q1,14.405
investment,1954Q1,9.922
fixed_i,1954Q1,10.931
nonresidential,1954Q1,6.994
structures,1954Q1,37.325
equipment,1954Q1,4.52
intellectual,1954Q1,2.165
residential,1954Q1,38.325
gdp,1954Q2,16.377
c,1954Q2,14.592
investment,1954Q2,9.898
fixed_i,1954Q2,11.106
nonresidential,1954Q2,6.931
structures,1954Q2,37.584
equipment,1954Q2,4.42
intellectual,1954Q2,2.178
residential,1954Q2,40.824
gdp,1954Q3,16.562
c,1954Q3,14.79
investment,1954Q3,10.376
fixed_i,1954Q3,11.528
nonresidential,1954Q3,7.108
structures,1954Q3,37.502
equipment,1954Q3,4.63
intellectual,1954Q3,2.198
residential,1954Q3,43.31
gdp,1954Q4,16.886
c,1954Q4,15.1
investment,1954Q4,10.831
fixed_i,1954Q4,11.78
nonresidential,1954Q4,7.099
structures,1954Q4,37.343
equipment,1954Q4,4.619
intellectual,1954Q4,2.232
residential,1954Q4,46.02
gdp,1955Q1,17.369
c,1955Q1,15.439
investment,1955Q1,11.913
fixed_i,1955Q1,12.232
nonresidential,1955Q1,7.22
structures,1955Q1,38.5
equipment,1955Q1,4.661
intellectual,1955Q1,2.254
residential,1955Q1,49.404
gdp,1955Q2,17.651
c,1955Q2,15.735
investment,1955Q2,12.638
fixed_i,1955Q2,12.745
nonresidential,1955Q2,7.65
structures,1955Q2,39.455
equipment,1955Q2,5.074
intellectual,1955Q2,2.325
residential,1955Q2,50.114
gdp,1955Q3,17.89
c,1955Q3,15.929
investment,1955Q3,12.832
fixed_i,1955Q3,13.034
nonresidential,1955Q3,8.03
structures,1955Q3,40.764
equipment,1955Q3,5.391
intellectual,1955Q3,2.408
residential,1955Q3,49.047
gdp,1955Q4,17.997
c,1955Q4,16.129
investment,1955Q4,13.129
fixed_i,1955Q4,13.087
nonresidential,1955Q4,8.27
structures,1955Q4,41.772
equipment,1955Q4,5.549
intellectual,1955Q4,2.531
residential,1955Q4,46.989
gdp,1956Q1,17.927
c,1956Q1,16.155
investment,1956Q1,12.754
fixed_i,1956Q1,12.868
nonresidential,1956Q1,8.168
structures,1956Q1,43.069
equipment,1956Q1,5.273
intellectual,1956Q1,2.649
residential,1956Q1,45.788
gdp,1956Q2,18.075
c,1956Q2,16.209
investment,1956Q2,12.654
fixed_i,1956Q2,13
nonresidential,1956Q2,8.315
structures,1956Q2,44.603
equipment,1956Q2,5.285
intellectual,1956Q2,2.751
residential,1956Q2,45.551
gdp,1956Q3,18.059
c,1956Q3,16.246
investment,1956Q3,12.541
fixed_i,1956Q3,13.007
nonresidential,1956Q3,8.398
structures,1956Q3,44.886
equipment,1956Q3,5.338
intellectual,1956Q3,2.815
residential,1956Q3,44.69
gdp,1956Q4,18.356
c,1956Q4,16.47
investment,1956Q4,12.424
fixed_i,1956Q4,12.946
nonresidential,1956Q4,8.399
structures,1956Q4,44.779
equipment,1956Q4,5.325
intellectual,1956Q4,2.878
residential,1956Q4,44.024
gdp,1957Q1,18.474
